Team,PtDiff,Offense,Defense,Pace,Threes,DefRebounds,OffRebounds,Blocks,Turnovers,Assists,Steals,FreeThrows,FreeThrowsGiven
Creighton,93.41,96.75,71.74,88.71,85.63,92.78,6.74,56.51,27.85,98.07,51.38,17.41,90.62
CS Bakersfield,67.41,20.1,92.86,31.06,12.1,54.99,87.65,75.53,89.14,58.24,94.89,54.11,14.2
CS Fullerton,17.7,21.42,35.37,24.41,10.17,36.07,45.12,51.6,98.08,7.79,64.51,70.88,18.85
CS Northridge,19.88,75.97,3.09,65.3,1.09,45.73,38.73,31.3,67.86,36.04,71.23,98.67,6.02
CS Sacramento,14.3,12.66,30.8,27.91,2.97,32.91,24.6,69.15,18.01,39.68,9.95,31.49,75.59
Dartmouth,10.79,19.53,21.93,13.44,65.21,37.31,22.38,4.83,93.05,25.78,6.39,22.36,58.9
Davidson,72.5,69.59,69.0,75.11,93.26,84.9,21.36,49.79,19.71,88.57,41.83,22.2,63.49
Dayton,91.06,83.63,86.62,26.26,81.24,76.28,11.41,65.43,27.22,89.76,89.96,89.59,60.88
Delaware,17.78,6.91,48.16,26.82,11.93,57.32,46.21,41.37,35.4,18.61,30.29,27.3,36.13
Delaware St,5.44,7.09,14.85,34.01,62.69,1.48,29.13,21.65,62.51,29.87,36.19,15.17,34.99
Denver,43.88,51.44,35.91,16.99,38.3,58.95,17.73,11.94,61.13,74.03,11.41,46.43,38.13
DePaul,37.18,34.31,54.74,29.49,21.86,19.05,53.62,38.87,81.07,16.16,69.58,53.59,28.57
Detroit,13.6,67.45,2.08,69.32,75.05,16.26,53.05,14.8,89.6,38.0,64.63,93.13,2.4
Drake,19.33,46.54,15.38,91.05,84.64,30.67,44.38,19.39,24.41,43.11,63.99,13.81,75.28
Drexel,24.31,60.81,12.82,85.45,66.98,45.69,84.93,34.63,77.77,74.31,52.99,55.46,20.81
Duke,96.46,96.76,89.35,60.48,83.54,86.59,60.95,91.57,17.29,71.61,45.8,87.35,87.91
Duquesne,33.79,41.29,33.94,72.38,46.04,70.32,68.13,65.24,75.75,23.87,17.66,56.97,53.89
E Illinois,32.54,30.38,42.8,93.44,78.24,24.86,82.25,56.89,37.0,66.1,66.13,3.67,26.35
E Kentucky,21.74,22.71,30.48,34.03,45.29,14.06,19.75,53.76,63.57,44.66,37.86,34.69,22.76
E Michigan,52.68,56.68,46.95,82.44,20.95,12.87,93.3,72.58,26.18,54.09,98.3,79.13,3.65
E Washington,42.02,55.82,31.04,31.39,51.92,48.3,16.28,82.32,37.5,22.58,5.37,36.46,40.13
East Carolina,44.43,11.38,84.53,16.33,11.05,87.9,71.67,97.61,89.72,29.5,19.88,67.74,89.14
Edwardsville,9.59,16.12,18.53,46.9,1.82,22.21,86.98,24.58,75.39,6.87,16.58,97.18,2.89
Elon,57.77,46.01,61.52,60.32,95.74,96.56,20.85,12.95,34.56,67.67,16.01,24.02,90.65
ETSU,83.72,73.88,75.0,33.42,56.94,64.08,36.89,88.73,92.99,73.01,97.33,83.68,21.75
Evansville,49.87,35.16,73.2,8.09,0.65,40.55,16.71,31.26,23.84,56.56,27.54,91.1,19.32
F Dickinson,23.97,53.19,11.45,58.99,38.42,10.58,28.8,10.4,43.05,38.96,65.53,63.87,6.22
Fairfield,38.33,33.52,47.32,71.07,89.05,83.18,12.86,23.88,53.94,72.48,26.92,5.43,60.0
FL Atlantic,20.61,25.12,25.78,81.63,23.35,43.5,61.03,41.81,30.75,17.95,24.8,34.44,38.09
FL Gulf Coast,68.23,54.21,68.48,38.73,19.57,55.78,68.46,48.69,54.58,47.2,17.71,27.79,53.44
Florida,98.43,94.6,96.6,70.44,74.06,85.09,79.02,97.53,16.55,71.32,97.01,96.32,82.09
Florida A&M,2.41,14.2,3.47,60.41,9.09,14.65,19.34,39.94,56.5,9.01,39.58,70.17,43.19
Florida Intl,18.29,18.72,34.66,27.79,7.69,12.51,42.1,16.13,52.78,9.41,32.37,5.38,47.72
Florida St,95.88,97.37,79.31,87.73,44.01,85.16,79.92,97.58,24.18,79.0,91.85,95.38,34.57
Fordham,41.28,6.93,85.56,16.81,79.24,1.88,7.1,29.05,53.95,37.77,99.84,1.02,47.43
Fresno St,70.83,53.28,70.18,14.75,24.38,65.25,30.18,54.21,69.24,27.87,96.45,89.84,16.69
Furman,68.83,50.22,76.09,23.21,91.91,51.43,14.88,14.54,39.85,71.42,63.75,13.26,54.79
G Washington,57.78,50.14,61.09,27.75,78.03,69.16,70.49,70.11,57.0,50.93,28.99,59.5,92.27
Ga Southern,53.86,68.11,32.13,42.23,90.16,58.3,25.91,44.78,28.13,7.8,73.46,86.6,38.37
Gardner Webb,44.05,58.3,37.52,31.72,20.43,60.55,52.45,60.71,81.28,61.87,91.93,97.94,9.98
George Mason,63.25,69.42,51.75,59.64,12.93,93.75,68.02,21.52,42.23,21.66,19.23,77.72,83.34
Georgetown,77.84,74.37,76.71,14.33,30.77,84.88,30.93,89.95,68.46,83.9,29.12,91.74,35.83
Georgia,84.13,65.94,85.03,25.5,5.56,93.19,39.65,82.77,32.75,65.92,43.76,86.71,78.01
Georgia St,59.65,47.84,58.79,55.77,52.79,39.71,44.63,78.35,74.09,26.33,83.87,23.56,38.86
Georgia Tech,73.81,24.36,96.16,24.58,1.96,85.98,32.93,99.09,79.38,89.18,68.72,59.39,93.19
Gonzaga,98.77,97.94,95.96,69.4,62.95,99.5,40.27,75.53,43.4,93.84,85.43,71.88,87.58
Grambling,8.84,9.0,15.56,50.33,5.75,0.18,82.0,12.94,71.64,4.32,98.33,53.16,19.98
Grand Canyon,51.14,33.93,62.08,52.66,24.93,61.03,51.48,20.78,46.61,31.72,85.41,77.22,76.28
Hampton,12.37,10.46,36.45,53.25,20.04,14.04,56.95,58.68,75.26,9.23,9.77,30.58,12.66
Hartford,5.54,11.4,13.86,34.58,78.33,14.76,30.6,44.42,92.32,15.97,75.32,24.24,35.82
Harvard,68.05,51.84,72.59,32.09,78.13,61.71,34.02,77.86,72.72,74.11,40.98,28.39,19.22
Hawaii,22.01,10.87,53.17,20.1,33.63,7.18,24.08,5.51,90.7,39.7,5.42,23.77,45.27
High Point,24.14,15.07,45.01,14.89,23.01,21.02,26.56,33.38,58.67,21.08,31.18,38.23,62.99
Hofstra,43.62,74.05,16.92,79.09,92.41,33.02,83.24,10.33,8.04,48.88,11.42,77.67,88.79
Holy Cross,38.58,3.4,90.39,0.58,70.71,0.25,0.55,13.63,5.48,65.0,98.11,7.28,95.64
Houston,84.97,73.94,91.03,69.72,73.68,51.43,70.17,65.62,2.93,35.57,21.85,19.82,63.54
Houston Bap,37.18,72.48,11.86,84.94,16.15,35.7,93.66,15.2,67.34,65.1,49.19,79.43,39.5
Howard,4.61,4.66,26.35,25.59,3.18,21.81,74.44,57.35,86.24,1.02,28.31,85.98,54.35
Idaho,29.35,24.04,51.01,26.26,40.24,46.72,55.56,15.79,55.06,33.68,5.71,78.92,12.56
Idaho St,6.31,22.37,6.03,20.99,61.24,5.18,5.53,17.07,77.26,9.92,81.68,50.97,64.45
IL Chicago,27.99,56.35,12.35,55.29,57.18,70.18,82.83,81.42,98.3,47.95,18.01,78.13,33.53
Illinois,80.86,58.58,90.26,33.84,58.69,64.9,30.68,15.52,34.32,62.33,31.15,41.77,93.46
Illinois St,88.3,40.52,96.88,37.67,73.99,86.25,50.23,78.88,33.1,70.36,88.31,20.51,81.03
Incarnate Word,11.97,58.09,2.22,45.06,59.68,44.01,5.95,81.14,40.56,21.23,18.51,93.23,22.46
Indiana,85.89,91.07,71.98,57.8,85.15,84.25,88.3,90.01,89.66,75.42,55.71,64.51,34.36
Indiana St,38.39,34.09,50.34,74.86,65.93,81.5,12.45,73.51,25.44,54.38,70.57,30.18,9.4
Iona,61.63,84.06,26.77,90.41,98.99,68.19,31.99,32.76,33.89,91.44,77.25,28.54,51.3
Iowa,79.09,91.97,48.53,77.72,74.3,80.52,80.05,70.38,74.45,97.94,86.72,90.24,86.85
Iowa St,94.16,92.24,87.4,89.63,96.62,56.61,21.49,61.19,0.34,93.71,96.38,16.8,96.67
IPFW,55.98,85.69,17.99,93.17,93.7,62.35,31.57,62.42,69.92,90.57,90.62,4.85,65.18
IUPUI,39.15,72.89,16.59,80.87,81.31,12.75,65.08,29.64,23.28,67.22,73.64,66.95,28.95
Jackson St,10.4,3.0,51.05,50.86,23.92,5.57,88.61,23.94,23.07,3.71,41.12,24.82,8.14
Jacksonville,19.23,35.93,17.02,16.13,94.35,5.77,13.85,3.25,69.09,26.3,88.38,37.97,37.74
Jacksonville St,48.87,25.76,69.75,16.79,44.87,59.11,51.23,65.38,62.19,67.41,10.52,25.48,57.1
James Madison,30.35,7.95,77.74,2.6,29.3,40.7,40.44,24.49,85.88,18.81,45.57,28.31,54.81
Kansas,98.55,99.28,85.6,91.54,87.63,96.32,91.72,92.06,27.03,98.33,91.76,84.79,85.08
Kansas St,90.33,67.48,92.25,25.18,53.96,33.27,33.59,70.75,34.22,92.84,98.77,75.5,86.6
Kennesaw,27.12,53.61,13.18,75.98,26.77,37.19,52.25,27.0,71.23,83.25,15.64,20.3,31.5
Kent,53.15,50.94,56.95,95.59,38.66,35.67,98.81,56.55,56.05,26.59,45.17,42.84,53.06
Kentucky,98.61,99.36,79.8,94.53,48.01,97.84,91.21,98.68,21.42,94.02,61.14,99.27,58.61
La Salle,56.86,79.69,27.0,28.97,89.82,38.99,10.09,12.68,47.73,66.22,70.94,52.96,67.17
Lafayette,9.03,17.42,8.55,43.04,63.05,39.81,3.42,23.55,77.88,44.03,9.02,9.68,63.06
Lamar,31.84,39.66,29.58,58.19,44.83,14.09,72.95,28.54,41.59,39.39,73.79,63.88,32.65
Lehigh,66.18,75.75,45.97,39.9,91.08,70.5,4.03,29.59,66.46,84.5,68.73,17.64,79.87
Liberty,31.88,6.55,81.4,0.86,88.43,6.67,0.03,5.36,7.25,30.57,36.59,12.5,40.73
Lipscomb,49.69,87.84,7.38,70.71,96.15,59.17,44.87,45.87,95.84,97.52,66.82,84.33,2.42
Long Beach St,29.25,56.51,16.18,69.55,26.09,25.1,79.17,31.46,84.96,65.98,28.99,77.87,28.43
Long Island,23.72,21.32,41.17,43.04,17.95,26.79,90.42,29.39,81.69,7.31,24.9,67.07,43.17
Longwood,2.38,13.06,1.98,31.45,20.6,14.46,2.99,75.13,97.16,9.59,30.05,5.62,43.75
Louisiana Tech,74.83,74.04,67.44,78.45,69.65,70.89,45.44,96.88,34.9,95.52,64.61,37.64,92.02
Louisville,97.92,91.52,98.04,87.51,57.23,95.07,97.04,94.87,15.53,67.13,87.57,84.25,43.9
Loy Marymount,48.88,34.72,61.31,46.9,53.15,13.35,66.38,66.23,87.05,76.18,87.21,19.2,26.63
Loyola MD,28.9,11.38,63.81,13.63,7.63,1.59,85.88,41.89,86.45,19.85,71.85,80.68,45.29
Loyola-Chicago,71.37,48.68,77.31,11.62,60.75,19.08,0.44,14.97,21.51,74.21,70.3,13.05,81.17
LSU,51.71,89.23,12.99,92.99,28.9,59.85,70.35,76.87,78.7,69.83,73.8,33.54,31.02
MA Lowell,16.64,73.34,2.61,68.8,77.11,23.51,25.6,4.43,95.6,91.4,24.93,25.36,9.37
Maine,5.6,8.58,17.79,56.46,33.91,45.35,47.69,4.96,65.05,23.26,16.5,19.83,42.83
Manhattan,18.98,24.35,28.81,22.26,43.42,15.22,49.35,43.44,93.66,8.46,78.33,81.41,0.78
Marist,12.96,23.95,14.54,16.34,75.53,24.6,2.96,17.39,31.61,11.91,11.83,55.95,25.49
Marquette,90.12,97.79,48.7,78.31,99.46,69.01,17.26,71.64,27.14,97.89,87.39,35.53,53.7
Marshall,51.34,98.22,1.32,98.35,96.26,86.42,40.04,78.64,51.49,95.37,55.32,97.55,26.78
Maryland,88.84,79.93,85.41,27.41,89.29,74.9,52.14,91.19,53.5,83.26,21.48,87.1,82.11
Massachusetts,53.71,53.89,47.34,78.35,44.33,69.92,52.51,89.57,93.51,92.13,93.57,45.4,6.22
McNeese St,10.76,19.6,12.36,56.02,24.02,42.75,31.54,46.85,64.18,3.45,16.07,54.15,23.03
MD E Shore,12.77,27.93,12.28,65.6,57.2,8.88,33.92,25.3,54.4,42.14,33.3,41.81,18.13
Memphis,72.29,64.3,67.66,69.76,4.47,51.79,67.8,90.55,17.31,85.8,72.79,81.52,65.24
Mercer,56.13,25.76,74.63,16.92,59.59,45.3,68.66,21.01,15.55,48.95,2.18,13.7,56.49
Miami FL,90.07,50.17,98.64,20.09,32.61,79.34,66.62,74.48,44.01,41.51,73.45,52.89,95.58
Miami OH,15.78,16.28,34.3,23.65,18.72,19.63,21.11,64.95,89.88,9.64,81.1,56.43,21.61
Michigan,91.08,75.51,95.97,7.3,94.02,16.72,4.82,40.88,1.3,68.49,34.53,23.26,97.34
Michigan St,85.72,67.55,89.53,10.71,75.27,95.84,23.66,94.21,86.71,98.84,12.4,55.31,62.19
Minnesota,92.54,82.05,90.41,71.61,27.18,98.61,63.88,99.6,19.73,92.47,47.51,92.96,92.1
Mississippi,74.96,90.39,45.3,72.9,62.86,89.67,87.15,88.37,74.9,58.48,80.0,96.24,39.08
Mississippi St,66.63,61.8,66.28,57.83,53.93,71.81,30.04,84.23,61.72,34.96,85.56,30.51,55.21
Missouri,40.36,36.72,69.76,68.75,26.03,75.37,59.97,24.61,25.86,32.32,70.7,79.06,41.02
Missouri KC,32.4,62.03,15.86,52.48,86.83,20.26,22.5,21.67,64.7,29.44,69.41,66.7,9.78
Missouri St,55.02,50.92,58.92,49.53,61.37,33.95,72.57,66.12,25.73,21.93,25.15,45.41,70.53
Monmouth NJ,79.14,87.62,50.78,90.92,92.06,84.76,66.97,87.21,43.0,31.85,80.23,89.96,27.62
Montana,41.37,42.98,42.67,41.38,34.52,26.24,30.02,38.09,19.45,39.5,36.35,38.46,13.42
Montana St,29.91,53.91,20.11,63.58,89.87,32.52,39.65,11.14,37.58,28.18,33.76,68.36,3.93
Morehead St,38.27,62.43,19.55,90.45,45.99,21.05,94.88,36.66,53.27,86.34,46.78,11.13,20.57
Morgan St,10.64,4.91,41.17,74.86,1.77,15.13,96.72,35.04,73.41,1.63,34.57,66.19,17.34
MS Valley St,3.86,28.17,0.97,90.03,6.3,7.43,79.4,12.57,61.87,21.99,77.42,41.39,17.55
Mt St Mary's,34.06,23.8,60.95,25.98,51.21,5.72,2.85,61.64,39.92,16.11,61.36,20.21,64.89
MTSU,88.05,47.2,94.01,49.97,25.09,51.33,39.49,32.35,11.81,76.02,74.94,8.06,57.78
Murray St,40.16,67.87,18.88,91.51,76.74,39.19,89.29,8.69,17.66,45.53,37.72,44.69,26.61
N Colorado,16.33,21.99,29.23,35.13,77.27,58.47,47.48,17.26,86.02,55.6,19.13,38.79,55.08
N Dakota St,47.19,39.22,60.77,19.82,54.95,67.45,9.27,64.06,20.43,19.39,52.93,73.43,81.27
N Illinois,34.89,15.38,66.26,32.72,2.1,37.32,81.26,14.61,75.85,4.18,53.09,72.54,41.87
N Kentucky,53.89,57.51,41.7,44.14,89.58,60.83,74.29,18.98,56.68,58.89,33.9,74.22,79.57
Navy,35.52,9.27,75.84,21.81,33.4,3.54,95.92,6.42,79.99,55.92,77.3,32.12,48.08
NC A&T,1.18,2.15,11.49,9.25,11.76,4.13,41.99,8.88,78.2,4.15,6.88,16.95,33.1
NC Central,52.5,31.64,64.51,39.57,33.76,52.57,38.12,44.57,52.47,37.51,42.62,31.37,88.64
NC State,67.59,90.63,29.12,73.2,51.33,74.85,46.71,86.11,56.58,81.49,25.25,67.63,72.73
NE Omaha,42.07,92.29,3.71,81.18,78.57,40.22,52.03,48.92,82.27,59.45,95.03,99.26,46.25
Nebraska,67.53,58.31,75.6,73.53,11.32,78.19,93.5,78.94,55.04,27.61,81.29,58.64,76.08
Nevada,84.65,90.15,56.75,68.58,94.5,94.0,75.51,82.08,29.28,95.65,16.87,95.64,91.53
New Hampshire,52.65,28.37,76.22,20.87,71.97,88.66,21.49,4.2,20.58,30.46,1.05,23.34,82.29
New Mexico,60.63,64.77,45.99,9.61,2.71,76.28,17.61,59.99,73.54,60.08,45.22,98.09,59.68
New Mexico St,72.08,68.78,58.44,51.86,44.61,61.63,86.84,47.54,65.36,48.65,6.07,81.39,47.17
New Orleans,48.07,20.78,73.46,6.99,0.22,16.97,80.28,46.35,97.97,85.2,80.01,80.06,72.26
Niagara,22.09,44.14,18.14,77.41,63.22,64.18,67.88,75.47,40.41,32.19,20.21,39.63,72.71
Nicholls St,12.83,42.33,6.01,41.22,71.71,7.73,40.29,96.83,78.96,51.01,77.82,56.59,61.93
NJIT,17.97,27.43,25.58,41.32,73.46,27.35,66.25,27.94,82.19,25.02,46.82,41.02,39.59
Norfolk St,19.29,11.46,36.01,30.76,18.73,48.34,31.75,93.27,74.6,3.85,25.13,67.73,20.87
North Carolina,98.18,99.25,80.87,99.47,66.33,98.98,99.81,68.3,25.81,99.88,76.15,90.96,83.66
North Dakota,45.82,63.22,32.55,58.35,18.63,43.77,17.64,31.7,72.19,70.61,89.88,65.81,34.88
North Florida,24.95,49.97,13.34,59.54,83.76,64.45,84.6,76.24,96.77,34.02,13.42,41.7,33.9
North Texas,9.35,20.13,15.78,67.68,14.31,42.07,44.77,32.34,66.31,9.87,63.51,52.04,33.96
Northeastern,56.58,53.18,52.99,12.95,83.73,63.65,17.52,58.58,54.34,62.71,39.08,58.91,85.79
Northern Arizona,9.01,17.0,13.64,76.75,51.53,51.56,88.03,7.06,89.0,61.62,7.13,32.91,66.04
Northern Iowa,47.31,8.81,94.98,2.74,43.11,18.25,0.27,28.87,8.51,4.89,69.91,21.42,99.1
Northwestern,88.91,59.63,96.93,71.39,56.15,84.42,67.25,94.81,4.88,92.5,21.35,42.03,50.38
Northwestern LA,15.23,48.37,6.11,50.05,29.91,22.02,58.16,23.22,91.4,58.15,68.36,87.8,22.13
Notre Dame,93.7,94.21,84.32,79.65,91.77,75.47,25.34,72.4,1.69,95.14,85.28,22.41,94.89
Oakland,68.81,68.94,53.65,71.76,39.38,87.24,51.53,80.4,71.02,86.15,91.53,86.03,80.58
Ohio,72.45,73.84,59.92,79.06,92.32,89.97,27.13,31.04,40.0,52.97,25.33,33.18,59.72
Ohio St,78.44,72.8,73.16,25.64,39.76,92.36,36.9,69.8,64.5,70.82,22.55,80.22,83.28
Oklahoma,78.84,76.91,80.26,86.28,20.61,90.48,84.76,96.42,34.44,19.95,86.61,84.02,64.61
Oklahoma St,95.54,99.73,49.59,95.97,92.21,53.61,96.23,59.8,40.67,94.56,89.66,95.45,13.18
Old Dominion,60.8,5.13,97.58,25.13,3.43,41.07,95.11,91.5,14.32,54.63,53.86,34.35,64.86
Oral Roberts,27.74,57.69,13.95,78.52,32.48,59.38,20.55,42.65,23.53,66.85,24.71,34.85,68.96
Oregon,96.99,89.8,96.47,28.36,79.64,81.69,52.27,99.59,61.09,96.82,70.09,53.36,98.35
Oregon St,19.16,8.1,65.0,1.1,14.61,31.92,18.58,72.78,95.73,18.29,33.65,24.86,34.19
Pacific,30.68,19.56,59.17,46.98,11.7,69.83,74.88,8.97,45.44,23.05,3.52,55.3,16.28
Penn,48.76,31.53,69.76,45.52,86.53,54.76,30.35,60.44,53.1,74.17,53.78,7.95,62.53
Penn St,71.16,68.32,66.97,68.53,59.03,76.63,45.26,97.05,68.42,71.25,86.63,69.44,75.19
Pepperdine,17.79,35.82,10.96,67.04,22.94,34.34,40.84,20.42,59.27,68.69,25.55,13.32,75.11
Pittsburgh,78.69,70.11,78.99,12.65,72.72,84.76,24.01,57.9,14.52,75.55,3.49,84.45,96.03
Portland,24.44,20.75,48.38,9.58,29.2,42.53,14.6,49.4,73.41,5.1,13.15,42.23,66.97
Portland St,27.62,80.87,3.69,91.61,51.22,5.48,27.24,15.35,28.83,75.66,99.16,77.44,34.11
Prairie View,14.67,16.81,21.12,47.72,44.03,3.7,17.48,60.72,54.71,22.31,97.26,35.46,4.52
Presbyterian,1.53,0.85,15.19,7.66,19.3,2.74,30.33,17.83,90.82,21.59,6.69,2.38,45.9
Princeton,80.12,39.72,93.41,35.29,98.67,37.55,8.3,37.37,2.25,76.5,68.35,0.9,85.27
Providence,84.17,50.6,94.01,25.45,64.88,54.73,20.05,45.35,25.01,72.59,73.84,50.73,94.22
Purdue,97.29,95.88,91.45,53.28,89.34,97.93,36.65,29.26,59.37,99.46,25.16,63.23,98.64
Quinnipiac,18.28,67.35,3.29,97.64,61.1,41.68,96.92,38.6,81.72,64.55,37.52,61.46,10.45
Radford,19.12,4.11,62.81,28.22,56.83,38.94,87.4,65.21,84.33,18.29,9.07,4.73,81.93
Rhode Island,87.08,65.83,91.02,61.87,20.52,63.43,90.18,98.42,12.68,51.74,73.28,78.3,7.44
